Assembly_Accession,Accession,Genome_Size_bp
GCF_043569795.1,GCF_043569795.1,5949290
GCF_043634805.1,GCF_043634805.1,7128314
GCF_043995865.1,GCF_043995865.1,5104020
GCF_044056035.1,GCF_044056035.1,6069528
GCF_044496695.1,GCF_044496695.1,5637057
GCF_045004265.1,GCF_045004265.1,5615141
GCF_045004285.1,GCF_045004285.1,5615205
GCF_045004315.1,GCF_045004315.1,5702922
GCF_045004305.1,GCF_045004305.1,5643365
GCF_045004295.1,GCF_045004295.1,5737101
GCF_045037975.1,GCF_045037975.1,6784073
GCF_045164175.1,GCF_045164175.1,5977827
GCF_045820715.1,GCF_045820715.1,5281642
GCF_046195355.1,GCF_046195355.1,9212864
GCF_046250185.1,GCF_046250185.1,2548440
GCF_046267895.1,GCF_046267895.1,9382446
GCF_046603635.1,GCF_046603635.1,4149392
GCF_047345015.1,GCF_047345015.1,6281767
GCF_047456105.1,GCF_047456105.1,5668109
GCF_047549585.1,GCF_047549585.1,5396201
GCF_048006345.1,GCF_048006345.1,4526901
GCF_047795635.1,GCF_047795635.1,4385539
GCF_047943055.1,GCF_047943055.1,4473311
GCF_048595585.1,GCF_048595585.1,5937611
GCF_048844225.1,GCF_048844225.1,4895483
GCF_049187005.1,GCF_049187005.1,5185421
GCF_049200365.1,GCF_049200365.1,7225309
GCF_001404195.1,GCF_001404195.1,4049567
GCF_001251095.1,GCF_001251095.1,4055188
GCF_001258055.1,GCF_001258055.1,4049567
GCF_001403735.1,GCF_001403735.1,3660824
GCF_001404295.1,GCF_001404295.1,6894560
GCF_001406035.1,GCF_001406035.1,6867338
GCF_001404515.1,GCF_001404515.1,6901692
GCF_001458095.1,GCF_001458095.1,4825935
GCF_001458195.1,GCF_001458195.1,4816147
GCF_001458435.1,GCF_001458435.1,3431657
GCF_001458395.1,GCF_001458395.1,4614060
GCF_001458295.1,GCF_001458295.1,4620120
GCF_036781545.1,GCF_036781545.1,3972322
GCF_036799145.1,GCF_036799145.1,4391896
GCF_036807705.1,GCF_036807705.1,4078133
GCF_032073705.1,GCF_032073705.1,3134326
GCF_032083405.1,GCF_032083405.1,5850167
GCF_032087075.1,GCF_032087075.1,3256826
GCF_032086855.1,GCF_032086855.1,3258952
GCF_035704995.1,GCF_035704995.1,3669407
GCF_035998705.1,GCF_035998705.1,6439755
GCF_035565795.1,GCF_035565795.1,4936996
GCF_035565855.1,GCF_035565855.1,4382523
GCF_002354655.1,GCF_002354655.1,4833297
GCF_001625175.1,GCF_001625175.1,5945135
GCF_002377945.1,GCF_002377945.1,3491810
GCF_002388965.1,GCF_002388965.1,4134743
GCF_002388985.1,GCF_002388985.1,4319331
GCF_002438125.1,GCF_002438125.1,5436782
GCF_002453835.1,GCF_002453835.1,3211847
GCF_002454035.1,GCF_002454035.1,3295647
GCF_003507055.1,GCF_003507055.1,3736617
GCF_003524605.1,GCF_003524605.1,2783636
GCF_011050585.1,GCF_011050585.1,4127440
GCF_011049865.1,GCF_011049865.1,3929789
GCF_000152485.1,GCF_000152485.1,4855962
GCF_900055185.1,GCF_900055185.1,5607486
GCF_900060185.1,GCF_900060185.1,5690703
GCF_900079515.1,GCF_900079515.1,5817724
GCF_900088415.1,GCF_900088415.1,5668610
GCF_900095365.1,GCF_900095365.1,6068231
GCF_900095785.1,GCF_900095785.1,4212842
GCF_900102795.1,GCF_900102795.1,3994069
GCF_900102935.1,GCF_900102935.1,6844519
GCF_900103205.1,GCF_900103205.1,6995158
GCF_900103335.1,GCF_900103335.1,6831633
GCF_900102675.1,GCF_900102675.1,5079034
GCF_900101475.1,GCF_900101475.1,4995422
GCF_900102015.1,GCF_900102015.1,3911774
GCF_900100655.1,GCF_900100655.1,3039361
GCF_900102875.1,GCF_900102875.1,4402189
GCF_900102945.1,GCF_900102945.1,4138450
GCF_900103865.1,GCF_900103865.1,4142129
GCF_900103185.1,GCF_900103185.1,3678401
GCF_900106805.1,GCF_900106805.1,4243668
GCF_900107355.1,GCF_900107355.1,3293487
GCF_900105495.1,GCF_900105495.1,6394336
GCF_900109335.1,GCF_900109335.1,6843250
GCF_900109765.1,GCF_900109765.1,3706028
GCF_900109455.1,GCF_900109455.1,3857113
GCF_900109535.1,GCF_900109535.1,6957254
GCF_900110135.1,GCF_900110135.1,3796802
GCF_900110585.1,GCF_900110585.1,4037907
GCF_900110705.1,GCF_900110705.1,3417479
GCF_900110785.1,GCF_900110785.1,6883168
GCF_900111095.1,GCF_900111095.1,4735181
GCF_900111855.1,GCF_900111855.1,6841688
GCF_900112755.1,GCF_900112755.1,4236215
GCF_900113265.1,GCF_900113265.1,3552645
GCF_900113275.1,GCF_900113275.1,4449795
GCF_900113345.1,GCF_900113345.1,4056899
GCF_900113795.1,GCF_900113795.1,6959206
GCF_900114245.1,GCF_900114245.1,5845495
GCF_900114415.1,GCF_900114415.1,3995969
GCF_900114815.1,GCF_900114815.1,6997636
GCF_900115495.1,GCF_900115495.1,5449689
GCF_900115555.1,GCF_900115555.1,5270473
GCF_900115865.1,GCF_900115865.1,4426466
GCF_900111945.1,GCF_900111945.1,3754758
GCF_900116405.1,GCF_900116405.1,3681289
GCF_900116455.1,GCF_900116455.1,4890154
GCF_900116505.1,GCF_900116505.1,6844013
GCF_900116725.1,GCF_900116725.1,3662395
GCF_900119575.1,GCF_900119575.1,6960462
GCF_900119635.1,GCF_900119635.1,6843884
GCF_900119675.1,GCF_900119675.1,6842543
GCF_900120035.1,GCF_900120035.1,5311144
GCF_900119985.1,GCF_900119985.1,4957201
GCF_900120015.1,GCF_900120015.1,5010399
GCF_900120065.1,GCF_900120065.1,5165999
GCF_900120075.1,GCF_900120075.1,5227706
GCF_900128925.1,GCF_900128925.1,3960292
GCF_900129845.1,GCF_900129845.1,3257490
GCF_900142625.1,GCF_900142625.1,4080216
GCF_900142665.1,GCF_900142665.1,4547027
GCF_900142755.1,GCF_900142755.1,4957973
GCF_900142765.1,GCF_900142765.1,3932137
GCF_900120145.1,GCF_900120145.1,5080936
GCF_900120025.1,GCF_900120025.1,5207744
GCF_900143545.1,GCF_900143545.1,3914133
GCF_900143525.1,GCF_900143525.1,4922849
GCF_900143535.1,GCF_900143535.1,4506054
GCF_900155885.1,GCF_900155885.1,4526531
GCF_900155945.1,GCF_900155945.1,4680330
GCF_900156535.1,GCF_900156535.1,3698163
GCF_900156595.1,GCF_900156595.1,3405551
GCF_900156635.1,GCF_900156635.1,4569005
GCF_900156805.1,GCF_900156805.1,4439333
GCF_900163545.1,GCF_900163545.1,3326555
GCF_900167155.1,GCF_900167155.1,5037269
GCF_900172365.1,GCF_900172365.1,4130403
GCF_900172295.1,GCF_900172295.1,3998736
GCF_900172225.1,GCF_900172225.1,4691634
GCF_900172215.1,GCF_900172215.1,4543068
GCF_900172235.1,GCF_900172235.1,3691014
GCF_900172255.1,GCF_900172255.1,3725543
GCF_900172335.1,GCF_900172335.1,4287842
GCF_900172285.1,GCF_900172285.1,4810238
GCF_900177525.1,GCF_900177525.1,5759395
GCF_900182615.1,GCF_900182615.1,4115084
GCF_900182765.1,GCF_900182765.1,3067455
GCF_900182805.1,GCF_900182805.1,4849775
GCF_900182745.1,GCF_900182745.1,4496706
GCF_900184145.1,GCF_900184145.1,3397723
GCF_900184825.1,GCF_900184825.1,4814893
GCF_900184815.1,GCF_900184815.1,4001270
GCF_900184945.1,GCF_900184945.1,5313976
GCF_900185035.1,GCF_900185035.1,3871907
GCF_900185055.1,GCF_900185055.1,4897107
GCF_900185565.1,GCF_900185565.1,4306099
GCF_900185625.1,GCF_900185625.1,4455676
GCF_900187545.1,GCF_900187545.1,5967646
GCF_000148725.1,GCF_000148725.1,5696886
GCF_000219565.1,GCF_000219565.1,4091699
GCF_905175355.1,GCF_905175355.1,6337616
GCF_905175335.1,GCF_905175335.1,5809603
GCF_011750675.1,GCF_011750675.1,6076934
GCF_011750655.1,GCF_011750655.1,6086221
GCF_009905395.1,GCF_009905395.1,5754181
GCF_009905435.1,GCF_009905435.1,6009073
GCF_009908205.1,GCF_009908205.1,7204762
GCF_009908285.1,GCF_009908285.1,7330768
GCF_009908315.1,GCF_009908315.1,3958066
GCF_009925085.1,GCF_009925085.1,4590930
GCF_029237275.1,GCF_029237275.1,6730217
GCF_010092875.1,GCF_010092875.1,5515790
GCF_010179695.1,GCF_010179695.1,3803384
GCF_010550425.1,GCF_010550425.1,10100803
GCF_010500245.1,GCF_010500245.1,5069803
GCF_020539545.1,GCF_020539545.1,5842174
GCF_020539555.1,GCF_020539555.1,5932792
GCF_020539585.1,GCF_020539585.1,5911544
GCF_010894395.1,GCF_010894395.1,5113305
GCF_011008935.1,GCF_011008935.1,3850476
GCF_011045095.1,GCF_011045095.1,5135518
GCF_011059185.1,GCF_011059185.1,4464082
GCF_013523055.1,GCF_013523055.1,5966503
GCF_021322875.1,GCF_021322875.1,5283465
GCF_011326755.1,GCF_011326755.1,3702221
GCF_011601345.1,GCF_011601345.1,3378519
GCF_012986065.1,GCF_012986065.1,6930863
GCF_012986115.1,GCF_012986115.1,6926615
GCF_011806535.1,GCF_011806535.1,5659024
GCF_013416725.1,GCF_013416725.1,7358313
GCF_021404545.1,GCF_021404545.1,4819802
GCF_016107575.1,GCF_016107575.1,3081191
GCF_012927345.1,GCF_012927345.1,9674594
GCF_012952265.1,GCF_012952265.1,4957925
GCF_012956055.1,GCF_012956055.1,4050555
GCF_012955645.1,GCF_012955645.1,5978475
GCF_029285475.1,GCF_029285475.1,4099707
GCF_029285405.1,GCF_029285405.1,4067897
GCF_029285395.1,GCF_029285395.1,4067670
GCF_029285375.1,GCF_029285375.1,4067897
GCF_029285315.1,GCF_029285315.1,4067897
GCF_029285275.1,GCF_029285275.1,4067669
GCF_029285175.1,GCF_029285175.1,4073478
GCF_029285205.1,GCF_029285205.1,4069337
GCF_029285135.1,GCF_029285135.1,3909518
GCF_029285115.1,GCF_029285115.1,4067898
GCF_029285085.1,GCF_029285085.1,4067734
GCF_029285075.1,GCF_029285075.1,4067669
GCF_029285035.1,GCF_029285035.1,4067442
GCF_029285045.1,GCF_029285045.1,4067441
GCF_029285015.1,GCF_029285015.1,4067227
GCF_029284935.1,GCF_029284935.1,4067897
GCF_029284995.1,GCF_029284995.1,4067811
GCF_029284945.1,GCF_029284945.1,4067896
GCF_029284975.1,GCF_029284975.1,4055413
GCF_029284915.1,GCF_029284915.1,4067056
GCF_029285675.1,GCF_029285675.1,4067669
GCF_029284775.1,GCF_029284775.1,4067669
GCF_029284755.1,GCF_029284755.1,4067898
GCF_029284815.1,GCF_029284815.1,4067456
GCF_029284795.1,GCF_029284795.1,4073504
GCF_029284825.1,GCF_029284825.1,4067724
GCF_013002825.1,GCF_013002825.1,4867710
GCF_013074385.2,GCF_013074385.2,4371716
GCF_030505135.1,GCF_030505135.1,6530287
GCF_030505105.1,GCF_030505105.1,6090782
GCF_030505095.1,GCF_030505095.1,6090004
GCF_013112225.1,GCF_013112225.1,3422918
GCF_019685535.1,GCF_019685535.1,5438185
GCF_018668795.1,GCF_018668795.1,2279634
GCF_013155465.1,GCF_013155465.1,4071611
GCF_040750475.1,GCF_040750475.1,5663630
GCF_013248905.1,GCF_013248905.1,5172704
GCF_013266605.1,GCF_013266605.1,5470918
GCF_013266555.1,GCF_013266555.1,5295939
GCF_013266595.1,GCF_013266595.1,5407000
GCF_013266565.1,GCF_013266565.1,5408122
GCF_013266615.1,GCF_013266615.1,5171573
GCF_013266665.1,GCF_013266665.1,5552652
GCF_013266655.1,GCF_013266655.1,5551897
GCF_013215215.1,GCF_013215215.1,3631262
GCF_013214215.1,GCF_013214215.1,5023558
GCF_013214045.1,GCF_013214045.1,5150206
GCF_013332575.1,GCF_013332575.1,4707906
GCF_014897785.1,GCF_014897785.1,3267216
GCF_013349955.1,GCF_013349955.1,3836276
GCF_013350055.1,GCF_013350055.1,3978956
GCF_017960245.1,GCF_017960245.1,7235675
GCF_017960295.1,GCF_017960295.1,7302681
GCF_017960285.1,GCF_017960285.1,7383803
GCF_017960325.1,GCF_017960325.1,7346542
GCF_017960365.1,GCF_017960365.1,7434488
GCF_017960345.1,GCF_017960345.1,7176918
GCF_017960375.1,GCF_017960375.1,6926996
GCF_014269115.1,GCF_014269115.1,5891462
GCF_014269165.1,GCF_014269165.1,5898593
GCF_014269105.1,GCF_014269105.1,5729881
GCF_022627985.1,GCF_022627985.1,6305064
GCF_013364395.1,GCF_013364395.1,5651202
GCF_013364385.1,GCF_013364385.1,5430111
GCF_013373705.1,GCF_013373705.1,4541830
GCF_013373735.1,GCF_013373735.1,4511740
GCF_013377785.1,GCF_013377785.1,4811426
GCF_013387005.1,GCF_013387005.1,6086944
GCF_020295325.1,GCF_020295325.1,6237544
GCF_013415485.1,GCF_013415485.1,4062557
GCF_013415115.1,GCF_013415115.1,3724647
GCF_013425485.1,GCF_013425485.1,6824910
GCF_016464085.1,GCF_016464085.1,5907473
GCF_016464165.1,GCF_016464165.1,5712489
GCF_016464115.1,GCF_016464115.1,6197739
GCF_016464175.1,GCF_016464175.1,5854558
GCF_016464195.1,GCF_016464195.1,5859704
GCF_016464265.1,GCF_016464265.1,6269929
GCF_013608135.1,GCF_013608135.1,3080493
GCF_024530995.1,GCF_024530995.1,5561594
GCF_024531115.1,GCF_024531115.1,5682451
GCF_024531135.1,GCF_024531135.1,5057945
GCF_024531155.1,GCF_024531155.1,4986601
GCF_024531215.1,GCF_024531215.1,5223817
GCF_024531195.1,GCF_024531195.1,5096293
GCF_024531205.1,GCF_024531205.1,4986756
GCF_024531295.1,GCF_024531295.1,5078322
GCF_024531375.1,GCF_024531375.1,5484330
GCF_014050145.1,GCF_014050145.1,4588813
GCF_036903955.1,GCF_036903955.1,5872129
GCF_036904015.1,GCF_036904015.1,5848899
GCF_036903995.1,GCF_036903995.1,5861801
GCF_036904115.1,GCF_036904115.1,5110122
GCF_036904035.1,GCF_036904035.1,5152328
GCF_036904045.1,GCF_036904045.1,5136358
GCF_036904095.1,GCF_036904095.1,5447729
GCF_036904075.1,GCF_036904075.1,5111074
GCF_036904155.1,GCF_036904155.1,5062228
GCF_036904135.1,GCF_036904135.1,5334009
GCF_036904195.1,GCF_036904195.1,5097208
GCF_036904175.1,GCF_036904175.1,5179131
GCF_036904215.1,GCF_036904215.1,5059693
GCF_036904235.1,GCF_036904235.1,5165014
GCF_014525215.1,GCF_014525215.1,5890073
GCF_014525195.1,GCF_014525195.1,5855461
GCF_014525075.1,GCF_014525075.1,6592253
GCF_014119005.1,GCF_014119005.1,2873002
GCF_014200165.1,GCF_014200165.1,8730687
GCF_014202315.1,GCF_014202315.1,11651000
GCF_014192055.1,GCF_014192055.1,4801488
GCF_014192215.1,GCF_014192215.1,4168933
GCF_014195655.1,GCF_014195655.1,5030725
GCF_014197665.1,GCF_014197665.1,3908741
GCF_014197785.1,GCF_014197785.1,5156171
GCF_014199445.1,GCF_014199445.1,3243171
GCF_014163575.1,GCF_014163575.1,4518242
GCF_014163665.1,GCF_014163665.1,4649514
GCF_014164465.1,GCF_014164465.1,5963089
GCF_014164585.1,GCF_014164585.1,5624038
GCF_014138625.1,GCF_014138625.1,6774758
GCF_014138635.1,GCF_014138635.1,6776230
GCF_014212355.1,GCF_014212355.1,3490400
GCF_015351605.1,GCF_015351605.1,6905873
GCF_017350055.1,GCF_017350055.1,6972007
GCF_017350855.1,GCF_017350855.1,6001430
GCF_017350975.1,GCF_017350975.1,6211985
GCF_017351905.1,GCF_017351905.1,6616395
GCF_020622265.1,GCF_020622265.1,3885564
GCF_014901205.1,GCF_014901205.1,4018212
GCF_014349205.1,GCF_014349205.1,6588237
GCF_014384845.1,GCF_014384845.1,8866612
GCF_014859505.1,GCF_014859505.1,3359532
GCF_017776525.1,GCF_017776525.1,3335703
GCF_020740875.1,GCF_020740875.1,5036395
GCF_020740925.1,GCF_020740925.1,5529422
GCF_020740955.1,GCF_020740955.1,5496836
GCF_014769105.1,GCF_014769105.1,5720523
GCF_014769135.1,GCF_014769135.1,5225961
GCF_014700075.1,GCF_014700075.1,5792966
GCF_014779595.1,GCF_014779595.1,4804400
GCF_014863355.1,GCF_014863355.1,6291275
GCF_014878155.1,GCF_014878155.1,5819982
GCF_016123485.1,GCF_016123485.1,3724544
GCF_044904505.1,GCF_044904505.1,5555098
GCF_015163535.1,GCF_015163535.1,6243356
GCF_015163595.1,GCF_015163595.1,5529602
GCF_015163545.1,GCF_015163545.1,4926672
GCF_015163555.1,GCF_015163555.1,5363590
GCF_015163635.1,GCF_015163635.1,4995789
GCF_015209595.1,GCF_015209595.1,4639006
GCF_015234205.1,GCF_015234205.1,6861219
GCF_016744175.1,GCF_016744175.1,4217061
GCF_016744155.1,GCF_016744155.1,4151203
GCF_016613355.1,GCF_016613355.1,3202336
GCF_016106655.1,GCF_016106655.1,3321734
GCF_015234355.1,GCF_015234355.1,3388464
GCF_015277735.1,GCF_015277735.1,3331467
GCF_026933185.1,GCF_026933185.1,5027175
GCF_015351755.1,GCF_015351755.1,3287185
GCF_015680235.1,GCF_015680235.1,5065022
GCF_015680285.1,GCF_015680285.1,5288587
GCF_015680295.1,GCF_015680295.1,5460287
GCF_015680325.1,GCF_015680325.1,5288548
GCF_018219815.1,GCF_018219815.1,4333180
GCF_015595025.1,GCF_015595025.1,3725077
GCF_015645095.1,GCF_015645095.1,3873803
GCF_018398425.1,GCF_018398425.1,4583128
GCF_018340035.1,GCF_018340035.1,4022416
GCF_022129265.1,GCF_022129265.1,2731348
GCF_022129275.1,GCF_022129275.1,2864066
GCF_018524345.1,GCF_018524345.1,4000144
GCF_016823165.1,GCF_016823165.1,5066977
GCF_016825335.1,GCF_016825335.1,5012520
GCF_016008995.1,GCF_016008995.1,6400559
GCF_016009055.1,GCF_016009055.1,6036535
GCF_016009195.1,GCF_016009195.1,6565966
GCF_015864805.1,GCF_015864805.1,3984344
GCF_015864565.1,GCF_015864565.1,3302509
GCF_015864635.1,GCF_015864635.1,3515978
GCF_015864605.1,GCF_015864605.1,3411530
GCF_016019955.1,GCF_016019955.1,4158699
GCF_016019975.1,GCF_016019975.1,4241146
GCF_019691255.1,GCF_019691255.1,5906080
GCF_017872615.1,GCF_017872615.1,4703810
GCF_017872495.1,GCF_017872495.1,4552578
GCF_017872595.1,GCF_017872595.1,4150895
GCF_017872515.1,GCF_017872515.1,4251438
GCF_017872535.1,GCF_017872535.1,4175760
GCF_017872545.1,GCF_017872545.1,4254751
GCF_017872555.1,GCF_017872555.1,4106607
GCF_016337225.1,GCF_016337225.1,7108691
GCF_028309885.1,GCF_028309885.1,4952408
GCF_016758285.1,GCF_016758285.1,4732670
GCF_016758325.1,GCF_016758325.1,4732670
GCF_029428955.1,GCF_029428955.1,5708170
GCF_046635885.1,GCF_046635885.1,5804923
GCF_016597785.1,GCF_016597785.1,3151509
GCF_019846405.1,GCF_019846405.1,5145513
GCF_019846825.1,GCF_019846825.1,5659237
GCF_019846235.1,GCF_019846235.1,5175065
GCF_019846195.1,GCF_019846195.1,5067895
GCF_017643905.1,GCF_017643905.1,4441742
GCF_000518985.1,GCF_000518985.1,4700340
GCF_017948435.1,GCF_017948435.1,5851990
GCF_022603415.1,GCF_022603415.1,5275089
GCF_016746085.1,GCF_016746085.1,4223911
GCF_016765775.1,GCF_016765775.1,4219778
GCF_016793705.1,GCF_016793705.1,3835440
GCF_016909095.1,GCF_016909095.1,2711036
GCF_022760795.1,GCF_022760795.1,6322006
GCF_016819485.1,GCF_016819485.1,4822413
GCF_016819515.1,GCF_016819515.1,4820451
GCF_016819535.1,GCF_016819535.1,4820671
GCF_016819555.1,GCF_016819555.1,4819705
GCF_016819575.1,GCF_016819575.1,4821175
GCF_016819585.1,GCF_016819585.1,4821101
GCF_016819615.1,GCF_016819615.1,4821208
GCF_016817315.1,GCF_016817315.1,4819875
GCF_016817295.1,GCF_016817295.1,4822426
GCF_016817335.1,GCF_016817335.1,4823822
GCF_016819635.1,GCF_016819635.1,4819402
GCF_016819655.1,GCF_016819655.1,4823161
GCF_016819665.1,GCF_016819665.1,4823376
GCF_016819695.1,GCF_016819695.1,4820922
GCF_016819735.1,GCF_016819735.1,4819028
GCF_016819715.1,GCF_016819715.1,4821367
GCF_016819755.1,GCF_016819755.1,4820155
GCF_016819765.1,GCF_016819765.1,4821486
GCF_016819795.1,GCF_016819795.1,4821535
GCF_016819815.1,GCF_016819815.1,4829468
GCF_016819875.1,GCF_016819875.1,4820694
GCF_016819855.1,GCF_016819855.1,4827495
GCF_016819835.1,GCF_016819835.1,4820461
GCF_016819885.1,GCF_016819885.1,4821065
GCF_016819955.1,GCF_016819955.1,4820405
GCF_016819915.1,GCF_016819915.1,4819983
GCF_016819995.1,GCF_016819995.1,4823277
GCF_016819935.1,GCF_016819935.1,4820993
GCF_016819975.1,GCF_016819975.1,4820479
GCF_018304845.1,GCF_018304845.1,3184602
GCF_016924145.1,GCF_016924145.1,4702884
GCF_016924235.1,GCF_016924235.1,4695522
GCF_016937625.1,GCF_016937625.1,5057045
GCF_017051735.1,GCF_017051735.1,5275089
GCF_017051775.1,GCF_017051775.1,5276515
GCF_017051795.1,GCF_017051795.1,5276531
GCF_017051655.1,GCF_017051655.1,5273268
GCF_017051665.1,GCF_017051665.1,4964135
GCF_017313425.1,GCF_017313425.1,5360365
GCF_017313445.1,GCF_017313445.1,5540169
GCF_017313525.1,GCF_017313525.1,5762605
GCF_017313505.1,GCF_017313505.1,5327684
GCF_017313585.1,GCF_017313585.1,5359286
GCF_017313625.1,GCF_017313625.1,5509932
GCF_017313705.1,GCF_017313705.1,5341523
GCF_017313645.1,GCF_017313645.1,6057133
GCF_017313725.1,GCF_017313725.1,5458535
GCF_017315735.1,GCF_017315735.1,3926839
GCF_018555685.1,GCF_018555685.1,6717907
GCF_017356265.1,GCF_017356265.1,4106270
GCF_018831165.1,GCF_018831165.1,5378559
GCF_017498085.1,GCF_017498085.1,3054724
GCF_040148675.1,GCF_040148675.1,4286852
GCF_017498065.1,GCF_017498065.1,3109059
GCF_018458705.1,GCF_018458705.1,5118744
GCF_018458675.1,GCF_018458675.1,5104232
GCF_018458625.1,GCF_018458625.1,5123385
GCF_018458635.1,GCF_018458635.1,5090839
GCF_018458585.1,GCF_018458585.1,5097523
GCF_018458565.1,GCF_018458565.1,5269427
GCF_018458525.1,GCF_018458525.1,5546188
GCF_018458545.1,GCF_018458545.1,5070984
GCF_018458485.1,GCF_018458485.1,5477015
GCF_018458505.1,GCF_018458505.1,5099711
GCF_018458465.1,GCF_018458465.1,5156175
GCF_018458445.1,GCF_018458445.1,5108450
GCF_018458425.1,GCF_018458425.1,5096080
GCF_018458385.1,GCF_018458385.1,5075336
GCF_018458405.1,GCF_018458405.1,5380668
GCF_018458355.1,GCF_018458355.1,5082042
GCF_018458325.1,GCF_018458325.1,5197973
GCF_018458285.1,GCF_018458285.1,5059225
GCF_018458345.1,GCF_018458345.1,5185162
GCF_018458305.1,GCF_018458305.1,5147080
GCF_018458265.1,GCF_018458265.1,5081161
GCF_018458215.1,GCF_018458215.1,5147913
GCF_018458205.1,GCF_018458205.1,5029473
GCF_018458225.1,GCF_018458225.1,5238214
GCF_018458185.1,GCF_018458185.1,5335337
GCF_018458145.1,GCF_018458145.1,5090191
GCF_018458165.1,GCF_018458165.1,5059621
GCF_018458105.1,GCF_018458105.1,5040179
GCF_018458125.1,GCF_018458125.1,5264528
GCF_018458085.1,GCF_018458085.1,5114859
GCF_018458065.1,GCF_018458065.1,4988002
GCF_018458035.1,GCF_018458035.1,5157536
GCF_018458025.1,GCF_018458025.1,5121585
GCF_018458005.1,GCF_018458005.1,5283352
GCF_018457985.1,GCF_018457985.1,5168030
GCF_018457935.1,GCF_018457935.1,5228081
GCF_018457965.1,GCF_018457965.1,5103239
GCF_018457905.1,GCF_018457905.1,5187408
GCF_018457925.1,GCF_018457925.1,5199128
GCF_018457885.1,GCF_018457885.1,5289338
GCF_018457805.1,GCF_018457805.1,5038516
GCF_018457855.1,GCF_018457855.1,5228320
GCF_018457845.1,GCF_018457845.1,5158188
GCF_018457825.1,GCF_018457825.1,5284224
GCF_018457785.1,GCF_018457785.1,5178714
GCF_018457755.1,GCF_018457755.1,5157699
GCF_018457725.1,GCF_018457725.1,5137445
GCF_018457745.1,GCF_018457745.1,5136446
GCF_018457705.1,GCF_018457705.1,5199877
GCF_018457685.1,GCF_018457685.1,5236241
GCF_018457625.1,GCF_018457625.1,5056621
GCF_018457635.1,GCF_018457635.1,5150533
GCF_018457665.1,GCF_018457665.1,5056738
GCF_018457585.1,GCF_018457585.1,5162552
GCF_018457595.1,GCF_018457595.1,5124024
GCF_018457545.1,GCF_018457545.1,5129291
GCF_018457565.1,GCF_018457565.1,5323436
GCF_018457505.1,GCF_018457505.1,5210542
GCF_018457485.1,GCF_018457485.1,5155808
GCF_018457525.1,GCF_018457525.1,5087011
GCF_018457465.1,GCF_018457465.1,5393508
GCF_018457405.1,GCF_018457405.1,5298446
GCF_018457415.1,GCF_018457415.1,5198559
GCF_018457425.1,GCF_018457425.1,5315051
GCF_018457365.1,GCF_018457365.1,5097490
GCF_018457385.1,GCF_018457385.1,5097313
GCF_049116415.1,GCF_049116415.1,2905185
GCF_018101215.1,GCF_018101215.1,4174113
GCF_018101115.1,GCF_018101115.1,4173585
GCF_018101175.1,GCF_018101175.1,5031843
GCF_018779775.1,GCF_018779775.1,5280549
GCF_018779825.1,GCF_018779825.1,5275770
GCF_018779845.1,GCF_018779845.1,5280508
GCF_018779875.1,GCF_018779875.1,5279260
GCF_018779895.1,GCF_018779895.1,5279841
GCF_018779915.1,GCF_018779915.1,5280224
GCF_018779865.1,GCF_018779865.1,5280707
GCF_017653575.1,GCF_017653575.1,3988725
GCF_028888725.1,GCF_028888725.1,5656690
GCF_018779785.1,GCF_018779785.1,5281929
GCF_017875115.1,GCF_017875115.1,6848429
GCF_017875165.1,GCF_017875165.1,6796030
